time_s,amplitude_uV
0.000000,0.000185
0.003906,0.621317
0.007812,0.975898
0.011719,1.109556
0.015625,1.195026
0.019531,1.010380
0.023438,1.047423
0.027344,1.178120
0.031250,0.908909
0.035156,0.903300
0.039062,1.004881
0.042969,0.781839
0.046875,0.411120
0.050781,-0.126664
0.054688,-0.305602
0.058594,-0.345023
0.062500,-0.605106
0.066406,-0.290724
0.070312,-0.309104
0.074219,-0.125662
0.078125,-0.292966
0.082031,-0.297599
0.085938,-0.770400
0.089844,-0.813766
0.093750,-0.975866
0.097656,-1.027541
0.101562,-1.287673
0.105469,-0.901404
0.109375,-0.806652
0.113281,-0.834628
0.117188,-1.141007
0.121094,-0.946144
0.125000,-0.800331
0.128906,-0.351141
0.132812,0.487879
0.136719,0.769991
0.140625,1.313661
0.144531,1.656490
0.148438,1.418013
0.152344,1.323615
0.156250,1.155141
0.160156,0.995793
0.164062,0.720192
0.167969,0.854579
0.171875,0.924673
0.175781,0.241647
0.179688,0.231137
0.183594,-0.301576
0.187500,-0.770292
0.191406,-0.556790
0.195312,-0.714025
0.199219,-0.816265
0.203125,-0.384116
0.207031,-0.146341
0.210938,-0.258756
0.214844,-0.284643
0.218750,-0.634390
0.222656,-0.729468
0.226562,-0.697334
0.230469,-0.953693
0.234375,-0.667117
0.238281,-0.608910
0.242188,-0.435513
0.246094,-0.638198
0.250000,-0.586895
0.253906,-0.502303
0.257812,-0.151533
0.261719,0.261586
0.265625,0.401042
0.269531,0.999860
0.273438,1.605847
0.277344,1.375546
0.281250,1.535722
0.285156,1.357764
0.289062,1.276720
0.292969,0.951487
0.296875,0.636496
0.300781,0.507521
0.304688,0.363280
0.308594,0.361135
0.312500,-0.314011
0.316406,-0.725771
0.320312,-0.990885
0.324219,-1.249043
0.328125,-1.221839
0.332031,-1.132679
0.335938,-0.662699
0.339844,-0.476955
0.343750,-0.132182
0.347656,-0.266704
0.351562,-0.519998
0.355469,-0.553488
0.359375,-0.735126
0.363281,-0.419620
0.367188,-0.378622
0.371094,-0.087918
0.375000,-0.247187
0.378906,0.012273
0.382812,-0.340540
0.386719,-0.403203
0.390625,-0.019306
0.394531,0.192713
0.398438,0.788037
0.402344,1.555316
0.406250,1.430190
0.410156,1.578449
0.414062,1.581125
0.417969,1.328767
0.421875,0.872166
0.425781,0.554514
0.429688,0.466180
0.433594,0.275526
0.437500,-0.134261
0.441406,-0.252099
0.445312,-0.597482
0.449219,-1.168369
0.453125,-1.313272
0.457031,-1.645346
0.460938,-1.299697
0.464844,-1.138421
0.468750,-0.774254
0.472656,-0.530744
0.476562,-0.252985
0.480469,-0.495013
0.484375,-0.437753
0.488281,-0.295494
0.492188,-0.664744
0.496094,-0.089619
0.500000,-0.261914
0.503906,0.330121
0.507812,0.218635
0.511719,0.466769
0.515625,0.287684
0.519531,-0.035174
0.523438,0.422566
0.527344,0.658346
0.531250,0.777779
0.535156,1.126246
0.539062,1.421527
0.542969,1.370379
0.546875,1.517036
0.550781,0.928763
0.554688,0.595096
0.558594,0.121227
0.562500,-0.114701
