time_s,amplitude_uV
0.000000,0.060943
0.003906,0.534794
0.007812,1.478893
0.011719,1.837949
0.015625,1.287643
0.019531,1.208248
0.023438,1.162672
0.027344,0.749415
0.031250,0.589285
0.035156,0.338633
0.039062,0.698567
0.042969,0.697985
0.046875,0.481213
0.050781,0.459544
0.054688,-0.064020
0.058594,-0.803216
0.062500,-0.986308
0.066406,-1.498982
0.070312,-1.100068
0.074219,-0.954566
0.078125,-0.416606
0.082031,0.148402
0.085938,1.131563
0.089844,1.260062
0.093750,1.339780
0.097656,1.233242
0.101562,1.117989
0.105469,0.744600
0.109375,0.477977
0.113281,0.329628
0.117188,0.632840
0.121094,0.123543
0.125000,0.038973
0.128906,-0.235268
0.132812,-0.344186
0.136719,-0.771763
0.140625,-1.573031
0.144531,-2.148268
0.148438,-2.323376
0.152344,-1.886899
0.156250,-1.425534
0.160156,-0.822132
0.164062,-0.371386
0.167969,0.395828
0.171875,0.747517
0.175781,0.898332
0.179688,0.963210
0.183594,0.674890
0.187500,0.628382
0.191406,0.469738
0.195312,0.593960
0.199219,0.804267
0.203125,0.489834
0.207031,0.677261
0.210938,0.400079
0.214844,-0.079059
0.218750,-0.564274
0.222656,-0.741193
0.226562,-1.568365
0.230469,-1.271906
0.234375,-1.556267
0.238281,-0.781420
0.242188,-0.043987
0.246094,0.656446
0.250000,1.142245
0.253906,1.394554
0.257812,1.187086
0.261719,1.048312
0.265625,1.169213
0.269531,0.884620
0.273438,0.703548
0.277344,0.849772
0.281250,1.003920
0.285156,1.279501
0.289062,0.990855
0.292969,0.644052
0.296875,-0.222626
0.300781,-0.812827
0.304688,-1.334273
0.308594,-1.902304
0.312500,-1.816046
0.316406,-1.798871
0.320312,-1.279213
0.324219,-0.744297
0.328125,-0.433428
0.332031,0.211549
0.335938,0.136052
0.339844,0.203088
0.343750,0.219021
0.347656,0.188900
0.351562,0.328482
0.355469,0.388510
0.359375,0.582409
0.363281,0.841724
0.367188,0.528520
0.371094,0.334747
0.375000,-0.123119
0.378906,-0.691306
0.382812,-1.048904
0.386719,-1.792857
0.390625,-1.897513
0.394531,-1.457086
0.398438,-1.413610
0.402344,-0.665440
0.406250,-0.458334
0.410156,0.118528
0.414062,0.228834
0.417969,0.452022
0.421875,0.706868
0.425781,0.232499
0.429688,0.806654
0.433594,1.036998
0.437500,1.221112
0.441406,1.376088
0.445312,1.852431
0.449219,1.650741
0.453125,1.432982
0.457031,0.782039
0.460938,0.374827
0.464844,-0.669982
0.468750,-1.309111
0.472656,-1.268093
0.476562,-1.172781
0.480469,-0.647922
0.484375,-0.372439
0.488281,-0.134015
0.492188,0.288095
