Fz,Cz,Pz,Oz,F3,F4,C3,C4
0.7451,2.5913,-0.4918,0.3035,0.8932,-2.0709,0.8861,1.6278
2.3905,4.1280,3.0424,5.6424,1.9415,2.1721,3.0471,3.4351
5.8623,6.6523,6.6392,5.0265,5.0526,4.8644,6.5096,5.6887
8.9154,9.2531,6.2892,11.2930,7.0629,6.8500,8.2714,8.4590
7.3206,11.6421,8.2589,11.5124,5.5139,8.7980,8.2295,10.1933
7.6400,9.9532,9.8574,12.2225,6.5158,6.6586,11.6038,12.1229
10.0540,11.0576,8.7855,12.0440,8.9117,6.4744,14.0598,13.2834
8.0897,8.2609,9.5623,10.9441,6.9883,5.6376,9.3067,11.1718
5.2726,10.2712,9.6651,12.1802,4.2519,4.5702,8.5128,11.4530
5.8261,9.3627,10.9941,9.2257,3.6168,3.3988,7.2526,7.1115
3.5008,6.3695,9.1905,4.4029,2.1394,3.2348,8.5420,6.8332
2.8895,8.2306,8.0755,3.8244,4.4225,3.6533,7.1136,5.3544
3.5154,2.8798,7.9489,3.2510,2.2741,3.1636,5.2664,5.9759
-0.0946,1.3731,5.2468,1.9554,3.2702,3.6028,3.1833,4.0218
-0.2819,2.6532,4.6911,-0.6683,4.8704,0.7780,3.6273,4.5834
0.7595,2.4345,2.4617,-0.8242,1.8329,3.0743,-0.1658,0.7847
-0.9335,1.6975,1.3980,-7.5835,4.6311,3.0122,0.8009,0.6503
-0.2663,-3.4035,-1.5644,-6.2886,-1.2937,2.0954,0.0455,-0.2315
-3.6214,-3.0408,-6.0159,-10.7980,1.6976,-1.7854,-5.1073,-6.3284
-5.9057,-6.5045,-4.0748,-8.0766,-3.2495,-3.6790,-7.4099,-1.9286
-2.8855,-8.0902,-2.9627,-9.9420,-4.8500,-5.3471,-4.2863,-7.0801
-6.2574,-7.2562,-4.5132,-9.0854,-8.6228,-4.9832,-8.5462,-10.6662
-6.0194,-7.5592,-4.7589,-10.2027,-7.0106,-4.7776,-6.1588,-7.6256
-7.7584,-10.0160,-4.1348,-5.4807,-7.5423,-6.5937,-7.5297,-7.2485
-5.2923,-3.7916,-5.1663,-3.7367,-5.7116,-3.4382,-6.2493,-6.1293
-2.6901,-1.7407,-3.9593,-1.9105,-3.2061,-2.8149,-3.5206,-2.6914
-2.7494,-2.3016,-3.9496,-0.2878,0.5108,-1.1123,-3.4217,-0.9745
1.2939,1.5938,-2.2641,3.3912,1.3393,0.7108,0.1210,0.3691
1.2302,3.7075,0.1921,3.7563,2.9610,3.6194,1.0072,2.2546
2.5456,4.6930,1.8228,7.8801,1.5941,3.7258,0.6763,2.5005
2.2992,4.0651,0.1722,10.2110,1.8301,6.5650,3.5579,5.7149
5.6038,3.7389,-0.3188,9.7993,5.0249,1.0484,2.3922,0.5683
1.9798,3.9617,0.0008,6.9056,-0.1028,1.7772,1.7645,2.2095
-0.6467,4.6198,0.3155,7.7927,1.9827,-1.2954,-0.9137,0.9991
1.1097,2.3801,-3.4474,4.1342,-2.2021,-3.1415,2.1129,0.9457
-2.8288,-0.2346,-5.4177,5.4649,-2.7303,-2.7500,-0.0086,-2.5894
-1.2510,0.4285,-3.4051,3.6448,-1.4382,-2.8377,-0.6699,-4.7316
-4.7467,-5.8103,-4.8898,-1.5521,-0.8706,1.5988,-3.0735,-2.3801
-3.7956,-0.4205,-4.1756,-2.2264,-2.2626,-2.3726,-5.4698,-2.4542
-1.4001,-5.2593,-3.8964,-2.6299,-1.8407,-2.9536,-0.0877,-0.7827
-0.5396,-3.7216,-4.5650,-4.3364,-0.6413,-0.1479,-3.2696,-5.0835
-1.5365,-5.5031,-1.8964,-7.3002,0.2660,-3.3529,-4.5941,-1.7389
-2.3710,-6.5566,-3.7553,-6.3619,0.8932,-0.5817,-3.3144,-0.3885
-3.2784,-3.7484,-3.9058,-7.7915,-1.1434,-1.1257,-2.7859,-5.1032
-5.7711,-7.0021,-3.3982,-9.3264,-1.2615,-0.9979,-5.1593,-7.0611
-5.2591,-6.3191,-5.7777,-10.5459,-0.8210,-1.8181,-3.5853,-6.1136
-5.1726,-6.9515,-1.9102,-7.6091,-3.5083,-4.8356,-3.8282,-5.4317
-2.6797,-5.5273,-2.5677,-5.7847,-3.8221,-4.5155,-6.4040,-3.9438
-2.8988,-4.7132,0.0057,-7.3822,-5.9855,-4.8563,-4.4249,-4.3013
-4.5693,-4.5883,-0.7551,-5.3348,-6.2386,-3.9846,0.0898,0.9863
0.5693,1.5887,0.6636,-0.9578,0.4005,0.2828,-2.8024,-0.4053
1.8056,2.4370,6.4837,0.7574,2.1921,0.4239,3.9440,1.5594
3.6678,3.9144,8.0026,4.0861,4.0986,4.2488,4.8887,8.6950
7.5977,8.3195,7.9780,8.1556,7.3909,5.5329,8.8181,6.1210
9.6656,13.2686,9.4538,6.4511,8.3749,9.2900,10.9300,11.0721
10.2369,13.4950,13.2845,12.9065,10.6854,11.6959,11.8491,17.0630
7.5464,11.9778,10.0095,11.9027,8.7176,6.6361,11.6724,12.4827
7.6358,11.4010,13.8357,11.2803,6.2804,4.6212,10.1477,10.1123
7.4017,10.1809,9.0631,11.1689,7.1997,5.5272,13.8790,10.3551
6.9169,12.0649,10.0018,10.0678,3.5520,3.9012,11.4810,8.6036
3.2575,7.5992,6.9054,5.9052,3.0108,2.5489,5.0073,6.9914
2.3716,5.7374,6.5043,8.8179,0.2672,0.3139,7.2215,5.8417
-0.0946,4.8148,2.9224,4.5251,-0.7127,-0.0389,2.4891,1.5296
-1.0820,1.9462,1.6227,2.9164,0.1242,0.5492,1.6855,4.0230
1.2188,-0.3886,0.0614,1.4273,0.0192,1.5606,-0.0949,0.3677
1.3221,-1.8825,-3.3701,-3.7836,0.7218,-2.9305,-2.4813,-0.4015
-1.6729,-3.3768,-2.6274,-3.7529,-0.6650,-0.8154,-1.6125,-4.0305
-1.1448,-5.1482,-6.3693,-6.9770,-3.7379,-0.6626,-4.6595,-2.9187
-3.4338,-5.9348,-7.7413,-7.2318,-2.8701,-3.5979,-7.4652,-7.1360
-6.4213,-8.8719,-10.5357,-13.3150,-2.6869,-1.2809,-10.6367,-8.2635
-6.3627,-9.5644,-14.2576,-11.4514,-6.1606,-6.6676,-11.7816,-11.8408
-5.7926,-12.0460,-11.6583,-12.8017,-7.7703,-7.4627,-14.2555,-13.2888
-8.8590,-12.3828,-8.1747,-11.1453,-7.1089,-7.7544,-12.4824,-11.4685
-6.4930,-15.2170,-10.4195,-10.2240,-10.0617,-9.8807,-14.1815,-13.0519
-12.0487,-9.6430,-10.7871,-10.3765,-10.7797,-11.2353,-11.7766,-12.6590
-5.4473,-8.4419,-9.7254,-8.1144,-7.2666,-7.6686,-7.4777,-10.4977
-4.5526,-4.7522,-7.4042,-4.4612,-5.5970,-3.3266,-5.2360,-5.9865
-2.8318,-7.5220,-4.4362,-2.6394,-3.7837,-2.8397,-4.2166,-5.1118
0.0544,3.0383,-4.7655,2.9576,-0.0810,-1.0876,-1.3971,-1.4430
-1.0566,2.4544,0.8188,3.8627,3.0298,3.6811,4.1663,1.3691
3.0847,6.4907,2.0731,2.2964,3.6932,3.2109,4.1953,0.5382
4.8011,4.6830,3.5314,7.7056,4.7501,3.5243,4.2977,2.5828
6.6985,7.8002,4.1265,7.6244,6.8004,4.3045,3.3137,5.9572
3.4019,5.2587,4.0989,6.9653,2.7642,4.4347,6.0940,4.3976
2.3405,5.3649,5.3408,7.1788,2.6073,5.7624,6.3687,6.7098
2.0741,8.3607,5.2442,8.3329,0.3859,2.3906,3.5891,5.9868
3.5706,4.3286,3.7143,8.9383,-0.8258,2.1835,4.3764,5.0183
2.2867,4.1498,3.2147,5.9558,-0.6364,-0.5180,2.9256,6.2006
0.8526,4.4831,4.0379,2.9753,-0.1607,-0.9813,2.9019,3.0534
2.4653,3.3932,5.9982,2.8891,1.7976,1.3519,-0.7147,3.9904
1.9489,2.3692,1.5547,-0.2049,5.6200,2.2571,2.5434,1.9994
3.2602,2.0849,0.8575,-2.2945,1.7044,1.1607,4.0694,6.2939
0.5112,4.3342,2.8264,-4.7004,2.4188,2.7808,1.1690,5.0916
0.5061,-0.4077,2.0497,-7.2341,2.6390,3.3327,1.4024,1.3415
-0.4640,-1.2630,1.5416,-6.6587,2.4312,2.3781,-0.8597,0.8541
-3.1351,-1.2848,0.9522,-7.0135,0.8969,1.2580,-0.3609,1.1374
-1.5558,-2.3417,-0.3348,-8.1449,0.9261,-0.5636,-2.3248,-2.2207
-2.4338,-2.9658,1.8783,-8.8173,-5.9664,-3.0873,-4.1960,-3.7721
-3.1941,-3.9325,-2.7827,-9.1554,-6.7317,-3.9221,-1.0529,-1.7407
-3.3350,-6.0165,-1.2597,-5.6843,-3.9812,-5.0358,-1.2637,-2.5394
-4.2543,-0.5163,0.5766,-6.7923,-0.8536,0.1777,-2.4868,-1.3049
-1.3614,-2.7196,-0.6748,-1.3573,-3.3764,-1.0077,0.8244,-1.1737
0.5088,1.8172,2.7594,-1.4098,-3.5856,0.5886,2.9018,-0.4808
1.6531,2.6794,6.7475,1.6571,3.8569,1.6069,5.1416,4.5324
4.2338,5.9102,5.3306,3.0991,5.1656,9.2036,3.4650,7.3639
6.2274,8.1445,6.3351,6.6478,4.3472,4.3726,8.8086,6.9600
8.9500,9.0198,4.3167,10.3699,4.8501,5.6852,7.0082,10.0174
6.1806,9.2145,4.9780,10.4882,4.3332,6.4115,7.0919,6.5727
5.4703,10.2519,4.5341,11.2680,4.6517,5.3862,10.6122,5.0734
3.6756,7.1271,3.3968,9.9994,1.7510,4.1274,5.5639,5.0102
-0.6188,4.2926,4.2802,6.4155,1.4880,3.4583,2.6510,3.1066
0.6979,4.1613,1.5268,6.0078,-5.2839,-0.2427,-2.0462,2.4167
-0.4954,2.6126,-2.6672,3.4866,-3.5782,-3.8769,1.4989,-1.7482
2.0919,-2.7053,-2.2468,4.6486,-4.6881,-3.3844,-4.1990,-0.1290
-2.5940,-1.4204,-3.3581,-1.2117,-3.5358,-2.6896,-4.9939,-0.5384
-2.3230,-2.5179,-3.7427,-0.1499,-3.7295,0.1799,-5.0573,-4.6190
-3.2045,-5.1648,-4.3018,-2.1904,-1.3779,-4.6714,-3.3796,-3.6296
-5.3412,-3.8060,-9.3077,-2.7557,-5.1766,-0.5837,-5.2810,-8.0256
-2.4817,-7.3194,-10.0130,-7.9680,-2.5125,-2.3109,-7.6919,-5.8423
-3.8844,-8.2035,-11.5689,-7.9467,-2.4146,-1.9954,-8.0963,-6.9878
