Fz,Cz,Pz,Oz,F3,F4,C3,C4
2.821694149173641364e-01,3.562903178163362439e-01,-1.478579306686678141e-01,-1.567237294293069572e-01,1.676313104213275340e-01,1.384050335957118238e-01,4.842738283124689569e-01,-3.216155317121034418e-01
3.598315458937588751e+00,4.112202877711538029e+00,3.552014597293608134e+00,3.781445562734806032e+00,4.382168154237633395e+00,3.829430099433004386e+00,4.290258686477753436e+00,4.493782222567414664e+00
4.962736619926829462e+00,4.961662930845402997e+00,5.002352642373266711e+00,5.091853138686380120e+00,5.223349504881391603e+00,5.165338189824034920e+00,5.453278370057306645e+00,5.068030985107574438e+00
5.452604167204499142e+00,5.249070257283693586e+00,4.847418499520693480e+00,4.428636892270652048e+00,5.673753865521392825e+00,4.936753847831122144e+00,4.493829242866972606e+00,5.199554674924005582e+00
7.236821516516973141e+00,6.841355544284618340e+00,6.607391897268476200e+00,6.353094776826966772e+00,7.216255814702111415e+00,6.019991893099949642e+00,7.200836500839893795e+00,7.679445211230837565e+00
9.526451148233508803e+00,9.221779259785073180e+00,9.726949060420055915e+00,8.882041461066071619e+00,9.503787610401014163e+00,8.970155726237141636e+00,1.008135731102639632e+01,9.292870025491415831e+00
8.441505048273292289e+00,8.735892750289707465e+00,8.447851613494341549e+00,8.365718061733566913e+00,9.209616851781344593e+00,8.685702278571318047e+00,9.072900191128146830e+00,8.520981500260564445e+00
6.175684474231709409e+00,5.546563661237870591e+00,5.703951570206086785e+00,5.764695904533520654e+00,6.383891142881990000e+00,5.171275734778105537e+00,5.391530303812450242e+00,5.424254761064227992e+00
5.244706725770858391e+00,5.098313891326632152e+00,4.623798714882161320e+00,4.392787021256905788e+00,4.966392484183232980e+00,4.897513690008008069e+00,4.995867691557780432e+00,5.005549919738305320e+00
6.063039787061090813e+00,6.099003851655308672e+00,5.737610768422364060e+00,5.969962733688856993e+00,5.956392813695737587e+00,6.422837540466397321e+00,5.782120906166302809e+00,5.966537918729692969e+00
5.874505563963125176e+00,5.063029422020324688e+00,5.623773508802965004e+00,4.957428259536634130e+00,5.421025054160821810e+00,5.211753571957143727e+00,6.138762120848938686e+00,5.353388754270094196e+00
3.157911872315025459e+00,3.037769686222043575e+00,2.865375524472131286e+00,3.176374641888131567e+00,3.242748079958414742e+00,2.867938230726283511e+00,3.138711069239591200e+00,2.705410234174873807e+00
1.710709590826203552e+00,1.787961271477455316e+00,2.049170440399588067e+00,1.151621236789976965e+00,1.588448405253827911e+00,1.332331329195771019e+00,1.720771449387551444e+00,1.456457801041878497e+00
3.596380637184160456e+00,2.997560372431817832e+00,3.414772074532292478e+00,3.305190441869912732e+00,3.423271999874586857e+00,3.617939556800972234e+00,3.402595524007399952e+00,2.744518703975466156e+00
3.828034862246528114e+00,3.255669057853531889e+00,4.067343979852105385e+00,3.256246432579254613e+00,4.085963505670358487e+00,3.636963058895783529e+00,3.168961443027628722e+00,3.250300916532636641e+00
2.097429157786422138e+00,8.736301992316957143e-01,1.530444517453222408e+00,1.742693920181381584e+00,1.483372125840294986e+00,1.337761212384799503e+00,1.292654464602646769e+00,1.577612218916910169e+00
